frame_path,mean_intensity,std_intensity,edge_density,histogram_diff,ssim,edge_diff
data\frames\input_video_1\input_video_1_frame_00000_0.00s.jpg,47.53174045138889,55.9806293182132,0.03315972222222222,0.0,1.0,0.0
data\frames\input_video_1\input_video_1_frame_00001_1.00s.jpg,46.594952256944445,55.173784344202524,0.03284722222222222,0.06791042440467798,0.7750216512388334,8.037369791666666
data\frames\input_video_1\input_video_1_frame_00002_2.00s.jpg,46.34331597222222,55.19355327734687,0.03559895833333333,0.05430812975981906,0.8195322880184431,8.108203125
data\frames\input_video_1\input_video_1_frame_00003_3.00s.jpg,45.94772135416667,56.08435135992948,0.032764756944444445,0.07474486789802319,0.7933134005005832,7.8392578125
data\frames\input_video_1\input_video_1_frame_00004_4.00s.jpg,45.75039496527778,56.26690766203057,0.034088541666666666,0.050944891968006716,0.8581144821990856,6.123763020833334
data\frames\input_video_1\input_video_1_frame_00005_5.00s.jpg,47.3755859375,55.867830281631335,0.03628038194444445,0.0756387814048868,0.8063539145887986,7.299153645833333
data\frames\input_video_1\input_video_1_frame_00006_6.00s.jpg,45.13131510416667,54.491408362571,0.032660590277777776,0.05953062081575948,0.8212291436888388,7.047916666666667
data\frames\input_video_1\input_video_1_frame_00007_7.00s.jpg,46.50671875,54.97205609567625,0.03382378472222222,0.05721385577873363,0.8699450530826174,5.80390625
data\frames\input_video_1\input_video_1_frame_00008_8.00s.jpg,45.42466579861111,54.399170490967265,0.031723090277777775,0.07395377804159539,0.8474601090021907,6.439192708333334
data\frames\input_video_1\input_video_1_frame_00009_9.00s.jpg,44.39075954861111,53.94208332074424,0.030477430555555556,0.043368653410963555,0.9005375020898245,5.167513020833334
data\frames\input_video_1\input_video_1_frame_00010_10.00s.jpg,44.216961805555556,54.148777274770545,0.031575520833333336,0.058905846259395475,0.8721179663968587,5.0966796875
data\frames\input_video_1\input_video_1_frame_00011_11.00s.jpg,48.710611979166664,56.4991582123605,0.040334201388888886,0.0816796538766657,0.8172053235954647,7.572526041666666
data\frames\input_video_1\input_video_1_frame_00012_12.00s.jpg,48.61763020833333,55.964173497134944,0.04093315972222222,0.05745891260680122,0.8463042811664732,8.356119791666666
data\frames\input_video_1\input_video_1_frame_00013_13.00s.jpg,45.34100260416667,54.723147883437434,0.031688368055555555,0.09993071737736932,0.8278248032448379,7.242708333333334
data\frames\input_video_1\input_video_1_frame_00014_14.00s.jpg,44.41180121527778,54.44633793038729,0.02460503472222222,0.0651461365946817,0.8221936980867999,6.116015625
data\frames\input_video_1\input_video_1_frame_00015_15.00s.jpg,46.86388454861111,54.12922296696586,0.03246527777777778,0.0841032751859459,0.8131986667368821,7.011393229166667
data\frames\input_video_1\input_video_1_frame_00016_16.00s.jpg,51.94739583333333,57.83394979098911,0.037395833333333336,0.09010554694376034,0.7643947143641576,9.677604166666667
data\frames\input_video_1\input_video_1_frame_00017_17.00s.jpg,46.311588541666666,55.781982334851655,0.032413194444444446,0.11413388450239403,0.754366656904713,8.484505208333333
data\frames\input_video_1\input_video_1_frame_00018_18.00s.jpg,53.50181423611111,64.30966166536801,0.03652777777777778,0.11167604612661272,0.7496837310709968,8.96484375
data\frames\input_video_1\input_video_1_frame_00019_19.00s.jpg,46.593363715277775,57.10734134937859,0.032391493055555554,0.09276310708648831,0.7671347239559271,9.4197265625
data\frames\input_video_1\input_video_1_frame_00020_20.00s.jpg,46.43909288194445,56.87413626062742,0.030616319444444446,0.04386624108726333,0.8841401861065739,5.596940104166666
data\frames\input_video_1\input_video_1_frame_00021_21.00s.jpg,43.145755208333334,55.173306390483184,0.027356770833333332,0.11088183824680345,0.858496747902444,4.510091145833333
data\frames\input_video_1\input_video_1_frame_00022_22.00s.jpg,43.502682291666666,55.27262531420736,0.028276909722222222,0.04294733251412818,0.907592089741646,3.54609375
data\frames\input_video_1\input_video_1_frame_00023_23.00s.jpg,45.33378472222222,56.984464890010834,0.03177951388888889,0.05319672646070549,0.8682699777111317,4.819986979166667
data\frames\input_video_1\input_video_1_frame_00024_24.00s.jpg,46.76137586805555,57.53654212049396,0.032348090277777776,0.08547898390356128,0.8385964244203488,6.070638020833333
data\frames\input_video_1\input_video_1_frame_00025_25.00s.jpg,47.13595486111111,57.0688571725777,0.03289496527777778,0.042793834495207864,0.8160667364583515,6.788932291666667
data\frames\input_video_1\input_video_1_frame_00026_26.00s.jpg,47.206966145833334,56.781536369490354,0.033051215277777775,0.059333234182297995,0.8068631011687343,8.015234375
data\frames\input_video_1\input_video_1_frame_00027_27.00s.jpg,47.303637152777775,56.89057388085782,0.033637152777777776,0.05069170340217798,0.801270078224847,8.153580729166666
data\frames\input_video_1\input_video_1_frame_00028_28.00s.jpg,46.33534288194444,56.57946758252823,0.0331640625,0.05958007424276049,0.8110027166631459,7.232747395833333
data\frames\input_video_1\input_video_1_frame_00029_29.00s.jpg,45.811861979166665,57.3087596388376,0.03537760416666667,0.06630268283731347,0.8090312752168392,7.486197916666667
data\frames\input_video_1\input_video_1_frame_00030_30.00s.jpg,45.302921006944445,57.876590197217105,0.03601996527777778,0.04963959893704842,0.8326907473127695,6.780078125
data\frames\input_video_1\input_video_1_frame_00031_31.00s.jpg,46.60807725694445,58.427474807337745,0.03602864583333333,0.11656660094871958,0.7871067803958145,8.077213541666667
data\frames\input_video_1\input_video_1_frame_00032_32.00s.jpg,47.39279947916667,58.68415482177071,0.03804253472222222,0.04641266963725843,0.9017045759350503,4.838802083333333
data\frames\input_video_1\input_video_1_frame_00033_33.00s.jpg,47.6354296875,58.01202776491239,0.03651041666666666,0.06035698441801361,0.8491378700903867,6.3650390625
data\frames\input_video_1\input_video_1_frame_00034_34.00s.jpg,47.75401041666667,57.478574899332926,0.036041666666666666,0.04238689710237629,0.8258006771154186,6.939453125
data\frames\input_video_1\input_video_1_frame_00035_35.00s.jpg,47.4837890625,57.28278368454129,0.03717013888888889,0.05073168157784156,0.8210464214914541,7.408723958333334
data\frames\input_video_1\input_video_1_frame_00036_36.00s.jpg,47.06443576388889,57.427893775142046,0.03662760416666667,0.07770694427341826,0.8059345898486596,7.775065104166667
data\frames\input_video_1\input_video_1_frame_00037_37.00s.jpg,47.00844618055555,57.75232873054491,0.038246527777777775,0.048844353183527096,0.8453974575469807,6.787825520833334
data\frames\input_video_1\input_video_1_frame_00038_38.00s.jpg,61.230221354166666,71.58920733347333,0.05117621527777778,0.13938076309762945,0.7125008317896783,11.772721354166666
data\frames\input_video_1\input_video_1_frame_00039_39.00s.jpg,58.13805989583334,67.06976148467352,0.0478125,0.07847806637963953,0.8105188168787113,7.947721354166666
data\frames\input_video_1\input_video_1_frame_00040_40.00s.jpg,45.612782118055556,58.09540948397312,0.040824652777777776,0.14870679373456072,0.7477674878226382,9.279166666666667
data\frames\input_video_1\input_video_1_frame_00041_41.00s.jpg,46.292903645833334,58.459301132308006,0.04147569444444445,0.05560275418193609,0.889934019957185,4.15703125
data\frames\input_video_1\input_video_1_frame_00042_42.00s.jpg,47.71888454861111,58.91154825986009,0.04213975694444445,0.0648441714581393,0.8633819160272093,5.213997395833333
data\frames\input_video_1\input_video_1_frame_00043_43.00s.jpg,48.39065538194444,58.840663173632194,0.043585069444444444,0.06491720180119767,0.8307465667552992,6.5111328125
data\frames\input_video_1\input_video_1_frame_00044_44.00s.jpg,50.695234375,58.902226172888845,0.04247395833333333,0.07236838798771315,0.7975090734646804,7.990885416666667
data\frames\input_video_1\input_video_1_frame_00045_45.00s.jpg,48.63963975694445,58.981316389429175,0.04491319444444444,0.08531844156280403,0.8013017748446005,7.680989583333333
data\frames\input_video_1\input_video_1_frame_00046_46.00s.jpg,48.636471354166666,58.701945807117106,0.04550347222222222,0.05064083168426846,0.8523700098026274,6.875260416666666
data\frames\input_video_1\input_video_1_frame_00047_47.00s.jpg,50.33257378472222,59.29860039151846,0.043263888888888886,0.05884416206684013,0.808570401970032,7.563671875
data\frames\input_video_1\input_video_1_frame_00048_48.00s.jpg,49.11892795138889,58.1168071531558,0.03788628472222222,0.08015869819830501,0.770334479767765,9.4263671875
data\frames\input_video_1\input_video_1_frame_00049_49.00s.jpg,48.688203125,57.68501782068399,0.038524305555555555,0.03982143689607193,0.8100253826342325,8.611783854166667
data\frames\input_video_1\input_video_1_frame_00050_50.00s.jpg,48.26302951388889,57.49235312548425,0.03578125,0.04782637265184536,0.8377512744323554,7.619010416666667
data\frames\input_video_1\input_video_1_frame_00051_51.00s.jpg,47.32174913194444,59.011280973925594,0.045559895833333336,0.09268910715485792,0.7558407357514204,10.134700520833333
data\frames\input_video_1\input_video_1_frame_00052_52.00s.jpg,48.36940972222222,59.67500824778991,0.04688368055555556,0.05291714962157813,0.8858869904265066,4.999283854166666
data\frames\input_video_1\input_video_1_frame_00053_53.00s.jpg,49.784856770833336,58.73839441241043,0.04138454861111111,0.08113385569211753,0.779915041986772,8.903971354166666
data\frames\input_video_1\input_video_1_frame_00054_54.00s.jpg,49.30271267361111,59.01013692580719,0.04843315972222222,0.07779048775868869,0.7675349542239767,9.1375
data\frames\input_video_1\input_video_1_frame_00055_55.00s.jpg,48.38588107638889,58.34656812181412,0.04614149305555556,0.054860039848296224,0.8487026409651468,5.699869791666667
data\frames\input_video_1\input_video_1_frame_00056_56.00s.jpg,48.48761284722222,58.35755645303834,0.047135416666666666,0.053613441745330705,0.8564219445810004,5.8869140625
data\frames\input_video_1\input_video_1_frame_00057_57.00s.jpg,50.73582465277778,58.41720141752226,0.04531684027777778,0.08605089837003566,0.7860407968019222,8.560872395833334
data\frames\input_video_1\input_video_1_frame_00058_58.00s.jpg,49.58705295138889,58.615096222022764,0.04833333333333333,0.0889495621016031,0.7846056451887589,8.259830729166667
data\frames\input_video_1\input_video_1_frame_00059_59.00s.jpg,48.318046875,56.750992716518205,0.04243489583333333,0.10427067892790465,0.7791929135640429,8.507747395833333
